City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Soyo,AO,78.49,overcast clouds,-6.1349,12.3689,Hotel Mpampa
3,Busselton,AU,80.15,overcast clouds,-33.65,115.3333,Observatory Guest House
7,Atuona,PF,78.69,few clouds,-9.8,-139.0333,Villa Enata
13,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Ponto Novo,BR,72.91,broken clouds,-10.8628,-40.1336,Pousada Mucambo
26,Maragogi,BR,77.94,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
33,Nuqui,CO,75.38,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
36,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,Buala,SB,84.51,light rain,-8.145,159.5921,Maringe Lagoon Lodge
44,Capim Grosso,BR,72.63,overcast clouds,-11.3811,-40.0128,Hotel Veloso
45,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
54,Fuerte Olimpo,PY,77.04,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
56,Arraial Do Cabo,BR,71.69,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
58,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
60,Byron Bay,AU,77.11,overcast clouds,-28.65,153.6167,Backpackers Inn
62,Vaini,TO,86.16,light rain,-21.2,-175.2,Keleti Beach Resort
64,Monrovia,LR,79.25,scattered clouds,6.3005,-10.7969,Sunset Inn
76,Butaritari,KI,82.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
84,Bowen,AU,86.22,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
87,Cabo San Lucas,MX,74.86,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
94,Humaita,BR,74.82,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
95,Parana,AR,70.21,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
97,Dzilam Gonzalez,MX,70.48,scattered clouds,21.2833,-88.9333,posadas
99,Angoche,MZ,77.52,overcast clouds,-16.2325,39.9086,Guest House HESADA
100,Faanui,PF,81.61,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Rio Brilhante,BR,74.97,clear sky,-21.8019,-54.5464,Hotel Cattani
114,Hilo,US,75.06,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
116,Ballina,AU,77.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
117,Hithadhoo,MV,81.07,broken clouds,-0.6,73.0833,Scoop Guest House
