City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Soyo,AO,-6.1349,12.3689,78.49,87,100,10.04,overcast clouds
1,Kaitangata,NZ,-46.2817,169.8464,51.22,57,100,6.6,overcast clouds
2,Meadow Lake,US,34.8014,-106.5436,47.68,40,32,1.92,scattered clouds
3,Busselton,AU,-33.65,115.3333,80.15,40,100,5.46,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,57.78,44,100,4.88,overcast clouds
5,Albany,US,42.6001,-73.9662,32.41,84,100,16.37,light snow
6,Nanortalik,GL,60.1432,-45.2371,43.84,96,100,12.91,overcast clouds
7,Atuona,PF,-9.8,-139.0333,78.69,77,17,17.83,few clouds
8,Nome,US,64.5011,-165.4064,-0.33,60,90,9.22,overcast clouds
9,Castro,BR,-24.7911,-50.0119,60.03,88,3,3.18,clear sky
10,Bethel,US,41.3712,-73.414,39.56,48,75,6.91,broken clouds
11,Arman,RU,59.7,150.1667,0.91,75,2,6.42,clear sky
12,Nchelenge,ZM,-9.3451,28.734,66.07,94,87,7.09,light rain
13,Rikitea,PF,-23.1203,-134.9692,76.33,74,100,13.98,overcast clouds
14,Khor,RU,47.8861,134.9464,15.71,90,69,9.15,broken clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,69.76,80,95,9.89,overcast clouds
16,Ozernovskiy,RU,51.5,156.5167,34.79,85,15,6.78,few clouds
17,Scurtu Mare,RO,44.35,25.2667,35.08,87,47,6.44,scattered clouds
18,Gornopravdinsk,RU,60.05,69.9,20.44,95,100,9.93,light snow
19,Upernavik,GL,72.7868,-56.1549,18.25,83,100,10.0,overcast clouds
20,Iqaluit,CA,63.7506,-68.5145,19.13,63,40,17.27,scattered clouds
21,Saskylakh,RU,71.9167,114.0833,-16.04,97,84,6.11,broken clouds
22,Port Alfred,ZA,-33.5906,26.891,65.44,80,79,34.0,broken clouds
23,Carnarvon,AU,-24.8667,113.6333,98.67,13,0,17.27,clear sky
24,Ponto Novo,BR,-10.8628,-40.1336,72.91,74,82,2.55,broken clouds
25,Abu Kamal,SY,34.4506,40.9171,58.46,59,1,7.74,clear sky
26,Maragogi,BR,-9.0122,-35.2225,77.94,83,15,9.37,few clouds
27,Xacmaz,AZ,41.4635,48.806,43.54,75,6,2.93,clear sky
28,Hobart,AU,-42.8794,147.3294,60.66,48,20,5.75,few clouds
29,Nikolskoye,RU,59.7035,30.7861,28.29,84,100,4.29,overcast clouds
30,Chistogorskiy,RU,53.9835,87.3843,13.62,89,100,9.08,overcast clouds
31,Barrow,US,71.2906,-156.7887,-12.98,77,20,8.05,haze
32,Constitucion,CL,-35.3333,-72.4167,51.6,86,1,9.42,clear sky
33,Nuqui,CO,5.7125,-77.2708,75.38,91,97,3.83,overcast clouds
34,Jamestown,US,42.097,-79.2353,31.59,80,90,20.71,light snow
35,Flin Flon,CA,54.7682,-101.865,21.58,96,100,4.63,overcast clouds
36,Kapaa,US,22.0752,-159.319,82.38,50,1,11.5,clear sky
37,Imeni Poliny Osipenko,RU,52.4201,136.4853,13.78,92,74,6.64,broken clouds
38,Ribeira Grande,PT,38.5167,-28.7,63.27,68,41,15.41,scattered clouds
39,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,44,7.76,scattered clouds
40,Buala,SB,-8.145,159.5921,84.51,70,78,4.07,light rain
41,Dikson,RU,73.5069,80.5464,-9.09,99,100,9.01,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,42.46,87,75,26.46,light intensity drizzle
43,Severo-Kurilsk,RU,50.6789,156.125,34.41,93,100,9.44,light rain
44,Capim Grosso,BR,-11.3811,-40.0128,72.63,73,100,6.4,overcast clouds
45,Santa Rosa,PH,14.3122,121.1114,82.38,73,100,13.82,overcast clouds
46,Qaanaaq,GL,77.484,-69.3632,10.09,96,100,4.0,light snow
47,Katsuura,JP,35.1333,140.3,53.71,48,100,9.01,overcast clouds
48,Mount Gambier,AU,-37.8333,140.7667,66.11,45,75,16.11,broken clouds
49,Thompson,CA,55.7435,-97.8558,15.96,92,90,3.44,light snow
50,Bluff,NZ,-46.6,168.3333,52.2,51,100,12.44,overcast clouds
51,Tuatapere,NZ,-46.1333,167.6833,57.69,47,100,7.85,overcast clouds
52,Cape Town,ZA,-33.9258,18.4232,63.01,82,75,18.41,broken clouds
53,Okhotsk,RU,59.3833,143.3,-1.48,77,9,10.74,clear sky
54,Fuerte Olimpo,PY,-21.0415,-57.8738,77.04,89,37,2.95,scattered clouds
55,Punta Arenas,CL,-53.15,-70.9167,42.26,82,60,10.33,broken clouds
56,Arraial Do Cabo,BR,-22.9661,-42.0278,71.69,95,100,22.57,overcast clouds
57,Narsaq,GL,60.9167,-46.05,37.62,99,100,7.34,light rain
58,Georgetown,MY,5.4112,100.3354,82.33,83,20,3.44,few clouds
59,Ponta Do Sol,PT,32.6667,-17.1,63.23,73,83,7.34,broken clouds
60,Byron Bay,AU,-28.65,153.6167,77.11,77,99,15.35,overcast clouds
61,Andenes,NO,69.3143,16.1194,12.18,79,73,4.61,light snow
62,Vaini,TO,-21.2,-175.2,86.16,79,75,5.75,light rain
63,Igualada,ES,41.581,1.6172,43.43,90,45,6.58,scattered clouds
64,Monrovia,LR,6.3005,-10.7969,79.25,82,25,6.58,scattered clouds
65,Geraldton,AU,-28.7667,114.6,97.21,11,0,19.57,clear sky
66,Westport,US,41.1415,-73.3579,40.96,56,90,19.57,overcast clouds
67,Yellowknife,CA,62.456,-114.3525,14.52,100,90,11.5,light snow
