City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2021-11-25 16:14:13,-33.5906,26.891,65.32,64,93,21.63
1,Saint-Philippe,RE,2021-11-25 16:14:14,-21.3585,55.7679,80.19,82,61,4.92
2,Rikitea,PF,2021-11-25 16:14:14,-23.1203,-134.9692,75.49,77,13,13.2
3,Caxito,AO,2021-11-25 16:14:15,-8.5785,13.6643,83.05,71,78,6.85
4,Yuncheng,CN,2021-11-25 16:14:15,35.0231,110.9928,44.62,41,0,2.28
5,Lagoa,PT,2021-11-25 16:14:15,39.05,-27.9833,61.66,73,93,30.94
6,Ushuaia,AR,2021-11-25 16:10:11,-54.8,-68.3,49.62,61,86,2.48
7,Chumikan,RU,2021-11-25 16:14:16,54.7183,135.315,14.99,91,92,6.38
8,Castro,BR,2021-11-25 16:14:16,-24.7911,-50.0119,80.15,47,77,8.46
9,Fortuna,US,2021-11-25 16:11:54,40.5982,-124.1573,40.12,87,1,10.36
10,Yerbogachen,RU,2021-11-25 16:14:16,61.2767,108.0108,9.84,97,99,4.59
11,Zaysan,KZ,2021-11-25 16:14:17,47.4667,84.8667,37.2,74,100,4.27
12,Syamzha,RU,2021-11-25 16:14:17,60.0158,41.0614,23.67,92,100,9.06
13,Busselton,AU,2021-11-25 16:14:17,-33.65,115.3333,66.04,79,56,11.56
14,Yellowknife,CA,2021-11-25 16:13:02,62.456,-114.3525,7.41,89,75,3.0
15,Gold Coast,AU,2021-11-25 16:14:18,-28.0,153.4333,75.2,91,90,8.05
16,Mitsamiouli,KM,2021-11-25 16:14:18,-11.3847,43.2844,80.8,74,66,5.77
17,Rypefjord,NO,2021-11-25 16:14:19,70.6333,23.6667,23.47,63,0,12.66
18,College,US,2021-11-25 16:14:19,64.8569,-147.8028,-4.34,67,40,0.0
19,Melilla,ES,2021-11-25 16:14:19,35.2937,-2.9383,57.58,72,40,4.61
20,Barrow,US,2021-11-25 16:14:20,71.2906,-156.7887,-9.38,77,1,16.11
21,Umm Lajj,SA,2021-11-25 16:14:20,25.0213,37.2685,77.81,54,12,10.29
22,Seoul,KR,2021-11-25 16:14:20,37.5683,126.9778,36.84,39,0,4.41
